epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
60,46271.3,0.89831,0.44874,0.10949,0.82384,0.49238,0.5545,0.27971,0.68461,0.4554,0.10333,0.008053,0.008053,0.008053
61,47047,0.91069,0.44467,0.10891,0.81794,0.49534,0.55948,0.27858,0.6844,0.45324,0.10221,0.00802,0.00802,0.00802
62,47821.4,1.00437,0.43704,0.12725,0.80719,0.48479,0.547,0.26996,0.69369,0.45251,0.10332,0.007987,0.007987,0.007987
63,48593.2,0.99325,0.44637,0.12117,0.80827,0.48157,0.54491,0.27025,0.69172,0.45303,0.10336,0.007954,0.007954,0.007954
64,49366.7,0.99701,0.44609,0.12703,0.81253,0.48304,0.5474,0.27701,0.68026,0.45403,0.1028,0.007921,0.007921,0.007921
65,50144.4,0.99787,0.4363,0.1207,0.81372,0.47922,0.54472,0.27678,0.68587,0.45042,0.10246,0.007888,0.007888,0.007888
66,50923,0.92389,0.44118,0.10782,0.81128,0.48203,0.54751,0.27842,0.68346,0.45068,0.10131,0.007855,0.007855,0.007855
67,51703,0.89371,0.45328,0.10856,0.81005,0.48629,0.55079,0.27999,0.68005,0.45077,0.10075,0.007822,0.007822,0.007822
68,52482,0.9317,0.44762,0.11273,0.81327,0.48915,0.55312,0.28331,0.6738,0.45122,0.10011,0.007789,0.007789,0.007789
69,53261.2,0.98241,0.4399,0.11893,0.81291,0.49146,0.55611,0.28794,0.66709,0.45266,0.09944,0.007756,0.007756,0.007756
70,54040.7,1.06715,0.42391,0.13285,0.81266,0.48353,0.54954,0.28346,0.67522,0.45219,0.10022,0.007723,0.007723,0.007723
71,54821.9,1.11088,0.42142,0.13793,0.81158,0.47642,0.54161,0.28245,0.67659,0.45112,0.10021,0.00769,0.00769,0.00769
72,55598.8,0.94293,0.45424,0.11249,0.81136,0.47417,0.54183,0.2818,0.67495,0.45316,0.10009,0.007657,0.007657,0.007657
73,56374.6,0.98645,0.44242,0.11858,0.80347,0.47306,0.54195,0.27965,0.67719,0.45371,0.10008,0.007624,0.007624,0.007624
74,57152.3,1.10325,0.4326,0.13739,0.79266,0.46525,0.53487,0.27504,0.68321,0.45486,0.10049,0.007591,0.007591,0.007591
75,57929.2,1.0194,0.44458,0.12293,0.78699,0.46662,0.53618,0.27636,0.67887,0.45759,0.0997,0.007558,0.007558,0.007558
76,58704.1,0.95393,0.45564,0.11626,0.78669,0.46654,0.53646,0.27761,0.676,0.45742,0.09955,0.007525,0.007525,0.007525
77,59477.8,1.00657,0.44061,0.12097,0.78613,0.46379,0.53481,0.27735,0.6754,0.45916,0.0996,0.007492,0.007492,0.007492
78,60251.4,1.01626,0.44465,0.12295,0.79219,0.46234,0.53363,0.27577,0.67829,0.45827,0.10014,0.007459,0.007459,0.007459
79,61026.1,0.93041,0.4504,0.11,0.79534,0.46155,0.53375,0.27511,0.67911,0.45918,0.1002,0.007426,0.007426,0.007426
80,61799.7,0.92188,0.44966,0.10946,0.79317,0.46411,0.5355,0.27539,0.67859,0.45917,0.10014,0.007393,0.007393,0.007393
81,62573.6,0.86692,0.44925,0.10532,0.7896,0.46695,0.5379,0.276,0.67706,0.46025,0.09985,0.00736,0.00736,0.00736
82,63349,0.99255,0.42918,0.12544,0.78637,0.46789,0.538,0.27518,0.67798,0.46117,0.10045,0.007327,0.007327,0.007327
83,64124.5,1.13668,0.41507,0.14895,0.77853,0.46884,0.53878,0.27352,0.68111,0.46258,0.10123,0.007294,0.007294,0.007294
84,64899.2,1.11762,0.41887,0.14022,0.77048,0.46642,0.53508,0.27151,0.68322,0.46234,0.1012,0.007261,0.007261,0.007261
85,65673.8,1.19058,0.4064,0.15479,0.76681,0.46114,0.53057,0.26857,0.68655,0.46236,0.10157,0.007228,0.007228,0.007228
86,66448.2,0.98871,0.4484,0.11815,0.77089,0.458,0.52907,0.26777,0.68739,0.4617,0.10157,0.007195,0.007195,0.007195
87,67222.8,1.09248,0.4327,0.13396,0.76883,0.45628,0.527,0.26601,0.69036,0.46141,0.1016,0.007162,0.007162,0.007162
88,67998.3,0.95422,0.44669,0.11393,0.76466,0.45541,0.52597,0.26486,0.69144,0.46117,0.10141,0.007129,0.007129,0.007129
89,68772.8,0.98023,0.43793,0.11674,0.76137,0.45608,0.52558,0.26397,0.69292,0.4607,0.10124,0.007096,0.007096,0.007096
90,69548.3,0.98128,0.44503,0.11731,0.75807,0.45306,0.52218,0.26009,0.69843,0.46103,0.10162,0.007063,0.007063,0.007063
91,70323.9,0.94502,0.44233,0.1108,0.7452,0.45321,0.52081,0.25575,0.70443,0.46138,0.10174,0.00703,0.00703,0.00703
92,71095.4,0.88379,0.45021,0.10371,0.73093,0.45493,0.51948,0.25292,0.70775,0.46121,0.10175,0.006997,0.006997,0.006997
93,71870.5,0.87867,0.44972,0.10035,0.72935,0.45565,0.52096,0.25445,0.70321,0.46217,0.10103,0.006964,0.006964,0.006964
94,72646.7,0.87295,0.44867,0.10132,0.72946,0.45787,0.52187,0.25619,0.70052,0.46101,0.10057,0.006931,0.006931,0.006931
95,73423,0.92143,0.44165,0.10857,0.72607,0.45864,0.52184,0.25595,0.70008,0.46064,0.1001,0.006898,0.006898,0.006898
